customer_id,purchase_date,transaction_amount,product_category,customer_age,customer_gender
8270,2023-08-02,567.84,Home & Kitchen,22,Other
1860,2020-08-16,843.83,Beauty,24,Other
6390,2020-02-21,403.33,Electronics,36,Other
6191,2024-02-27,552.73,Electronics,46,Male
6734,2021-07-17,126.87,Electronics,25,Female
7265,2021-05-16,98.64,Toys,48,Male
1466,2021-04-02,217.34,Books,33,Female
5426,2020-10-12,687.21,Toys,30,Male
6578,2024-02-17,216.06,Electronics,34,Other
9322,2020-07-28,877.95,Toys,58,Other
2685,2023-10-17,899.25,Beauty,37,Female
1769,2024-02-25,269.14,Electronics,53,Male
7949,2023-01-21,109.74,Beauty,19,Other
3433,2020-06-27,414.24,Toys,62,Female
6311,2023-04-24,794.73,Toys,29,Other
6051,2022-05-14,112.31,Books,63,Other
7420,2020-03-06,103.74,Beauty,46,Other
2184,2020-03-02,248.51,Home & Kitchen,22,Female
5555,2020-07-10,694.23,Toys,66,Male
4385,2021-03-23,377.46,Books,48,Female
7396,2021-04-21,738.03,Electronics,19,Female
9666,2022-10-31,407.77,Sports,59,Other
3558,2023-05-17,83.64,Clothing,51,Male
8849,2020-02-24,998.57,Home & Kitchen,64,Female
3047,2023-02-23,682.65,Electronics,53,Male
3747,2021-02-11,633.11,Beauty,58,Other
1189,2024-01-06,496.08,Home & Kitchen,53,Female
3734,2023-08-23,87.72,Sports,52,Male
4005,2023-12-07,985.26,Sports,28,Male
5658,2023-01-21,468.44,Clothing,32,Other
2899,2022-05-09,46.14,Home & Kitchen,19,Male
8734,2021-03-27,346.55,Electronics,56,Male
2267,2022-07-08,37.75,Electronics,33,Male
2528,2023-04-21,509.25,Books,19,Male
4556,2021-07-23,755.33,Home & Kitchen,28,Female
4890,2024-07-15,957.47,Clothing,40,Male
9838,2024-11-15,844.17,Sports,40,Male
6393,2020-01-14,274.8,Electronics,53,Other
9792,2024-04-03,350.3,Toys,32,Female
9433,2024-07-08,522.15,Toys,59,Other
8513,2020-11-22,686.6,Electronics,22,Other
3612,2023-11-30,737.67,Electronics,20,Other
8041,2022-05-15,850.32,Toys,34,Other
7235,2021-11-27,228.53,Beauty,46,Female
6486,2021-07-23,116.16,Clothing,20,Female
8099,2020-11-14,181.68,Toys,63,Other
1775,2021-03-16,943.68,Home & Kitchen,47,Female
9226,2024-04-12,136.7,Books,63,Other
4152,2021-11-20,322.34,Beauty,38,Female
2585,2020-07-28,199.79,Beauty,30,Female
4943,2020-07-08,115.17,Sports,33,Female
8555,2022-02-17,529.13,Books,61,Female
4073,2020-07-17,382.5,Sports,66,Other
2021,2022-01-05,727.97,Electronics,68,Male
4843,2024-10-01,395.54,Toys,34,Other
8989,2021-12-05,557.83,Electronics,52,Other
7873,2023-05-21,821.54,Sports,56,Male
6675,2021-06-25,529.86,Toys,65,Other
1161,2024-07-10,440.18,Home & Kitchen,62,Other
5297,2020-03-29,136.49,Beauty,64,Other
1995,2024-02-03,561.59,Sports,46,Female
8629,2022-07-29,103.61,Beauty,50,Female
2016,2023-01-03,109.37,Clothing,57,Female
8869,2020-09-12,453.93,Sports,27,Other
7439,2022-02-14,521.8,Sports,67,Male
8892,2020-06-10,747.8,Home & Kitchen,50,Other
7863,2023-02-04,459.24,Books,44,Female
8916,2021-08-23,623.31,Toys,54,Male
9529,2024-08-25,920.22,Home & Kitchen,52,Other
1878,2023-07-11,940.32,Toys,48,Female
5887,2023-06-20,267.59,Toys,69,Male
5859,2024-12-18,458.86,Clothing,40,Other
7331,2024-10-30,533.48,Toys,52,Female
9571,2022-01-10,449.74,Beauty,38,Other
9684,2023-03-28,963.57,Beauty,51,Other
8208,2021-01-28,293.88,Electronics,23,Male
6276,2023-12-13,521.65,Sports,34,Other
3062,2020-05-22,130.09,Books,51,Male
1064,2020-04-03,631.71,Toys,31,Female
9006,2023-09-16,331.53,Books,18,Other
3568,2021-04-11,806.53,Electronics,23,Male
6463,2024-05-02,134.72,Clothing,69,Male
3027,2021-08-15,880.39,Toys,46,Female
3695,2020-06-12,432.94,Clothing,55,Other
6258,2024-10-17,410.28,Books,58,Male
6618,2021-04-21,764.6,Toys,64,Other
7736,2024-11-09,305.69,Home & Kitchen,18,Other
1391,2020-07-25,858.16,Electronics,38,Female
6892,2022-02-17,280.98,Home & Kitchen,68,Other
4561,2021-07-23,732.89,Clothing,52,Male
7184,2022-07-17,60.58,Electronics,42,Female
4099,2023-07-25,702.47,Clothing,49,Male
7278,2024-09-04,266.32,Electronics,42,Other
9392,2022-01-17,728.38,Home & Kitchen,62,Female
4104,2020-11-29,827.72,Sports,58,Male
8215,2022-01-28,174.6,Beauty,68,Male
3454,2021-12-28,171.19,Home & Kitchen,20,Female
9996,2021-03-05,746.33,Toys,47,Male
3731,2023-10-04,174.06,Clothing,27,Female
9154,2021-06-30,24.46,Toys,54,Female
6056,2023-12-08,66.33,Beauty,64,Female
9110,2023-10-31,30.96,Home & Kitchen,65,Other
4840,2023-08-20,907.91,Sports,54,Other
2028,2020-05-26,865.8,Electronics,33,Male
8385,2023-06-01,557.63,Electronics,68,Other
1502,2023-07-24,514.77,Beauty,45,Female
7910,2020-12-16,247.66,Sports,55,Female
7938,2022-12-29,501.86,Sports,58,Male
5488,2024-02-02,931.6,Beauty,31,Male
1206,2021-05-16,572.36,Electronics,65,Female
6134,2020-11-30,61.54,Clothing,20,Female
6977,2022-08-04,41.82,Toys,26,Male
8721,2022-02-16,872.03,Books,58,Female
8035,2021-07-06,220.89,Beauty,38,Male
2484,2023-08-03,9.75,Home & Kitchen,19,Male
8858,2023-11-10,745.05,Sports,26,Female
1863,2023-02-14,820.19,Sports,51,Female
3790,2021-03-25,289.87,Sports,56,Male
8408,2023-11-03,832.49,Electronics,49,Female
9755,2021-10-26,805.44,Beauty,33,Female
6116,2024-09-22,489.36,Books,53,Female
7019,2024-04-22,938.84,Beauty,59,Other
2757,2024-05-08,845.44,Electronics,27,Other
